序号,股票/基金名称,代码,地区,类型,操作,买入日期,买入数量,买入价,,,,,,,,,,,,,
1,小米集团-W,1810,港股,,买入,2026/5/5,1400,30.7,,,,,,,,,,,,,
2,小米集团-W,1810,港股,,买入,2026/5/11,400,31.72,,,,,,,,,,,,,
3,小米集团-W,1810,港股,,买入,2026/7/3,200,23.9,,,,,,,,,,,,,
4,XL二南方海力士,07709,港股,,买入,2026/7/13,100,12.24,,,,,,,,,,,,,
5,小米集团-W,1810,港股,,买入,2026/7/21,400,27.84,,,,,,,,,,,,,
6,XL二南方海力士,07709,港股,,买入,2026/7/28,100,38.74,,,,,,,,,,,,,
7,XL二南方海力士,07709,港股,,买入,2026/8/5,200,40.8,,,,,,,,,,,,,
8,XL二南方海力士,07709,港股,,卖出,2026/8/5,100,38.76,,,,,,,,,,,,,
9,XL二南方海力士,07709,港股,,买入,2026/8/7,100,28.34,,,,,,,,,,,,,
10,XL二南方海力士,07709,港股,,卖出,2026/8/12,200,29.34,,,,,,,,,,,,,
11,XL二南方海力士,07709,港股,,买入,2026/8/12,200,31.18,,,,,,,,,,,,,
12,XL二南方海力士,07709,港股,,买入,2026/7/3,100,117.85,,,,,,,,,,,,,
13,XL二南方海力士,07709,港股,,买入,2026/7/8,100,85.68,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,
